Index,Experiment,Replicate,Position,Trap,CellType
435,VIP_Cd,EXP3,xy15,trap2,VIP
436,VIP_Cd,EXP3,xy15,trap3,VIP
437,VIP_Cd,EXP3,xy15,trap4,VIP
438,VIP_Cd,EXP3,xy17,trap1,CFP
439,VIP_Cd,EXP3,xy17,trap2,VIP
440,VIP_Cd,EXP3,xy17,trap3,VIP
441,VIP_Cd,EXP3,xy19,trap1,VIP
442,VIP_Cd,EXP3,xy19,trap2,VIP
443,VIP_Cd,EXP3,xy28,trap1,VIP
444,VIP_Cd,EXP3,xy28,trap2,VIP
445,VIP_Cd,EXP3,xy28,trap3,CFP
