time,replicate,stress,dose,units,strain,OD_value
14.33333333,rep3,Cd,0,mM,MC1061,0.578
14.66666667,rep1,Cd,0,mM,MC1061,0.578
14.66666667,rep2,Cd,0,mM,MC1061,0.563
14.66666667,rep3,Cd,0,mM,MC1061,0.576
15,rep1,Cd,0,mM,MC1061,0.577
15,rep2,Cd,0,mM,MC1061,0.562
15,rep3,Cd,0,mM,MC1061,0.575
15.33333333,rep1,Cd,0,mM,MC1061,0.577
15.33333333,rep2,Cd,0,mM,MC1061,0.56
15.33333333,rep3,Cd,0,mM,MC1061,0.575
15.66666667,rep1,Cd,0,mM,MC1061,0.576
15.66666667,rep2,Cd,0,mM,MC1061,0.56
15.66666667,rep3,Cd,0,mM,MC1061,0.574
16,rep1,Cd,0,mM,MC1061,0.575
16,rep2,Cd,0,mM,MC1061,0.558
16,rep3,Cd,0,mM,MC1061,0.573
16.33333333,rep1,Cd,0,mM,MC1061,0.574
16.33333333,rep2,Cd,0,mM,MC1061,0.558
16.33333333,rep3,Cd,0,mM,MC1061,0.572
16.66666667,rep1,Cd,0,mM,MC1061,0.573
16.66666667,rep2,Cd,0,mM,MC1061,0.555
16.66666667,rep3,Cd,0,mM,MC1061,0.571
17,rep1,Cd,0,mM,MC1061,0.572
17,rep2,Cd,0,mM,MC1061,0.555
17,rep3,Cd,0,mM,MC1061,0.57
17.33333333,rep1,Cd,0,mM,MC1061,0.572
17.33333333,rep2,Cd,0,mM,MC1061,0.553
17.33333333,rep3,Cd,0,mM,MC1061,0.569
17.66666667,rep1,Cd,0,mM,MC1061,0.57
17.66666667,rep2,Cd,0,mM,MC1061,0.552
17.66666667,rep3,Cd,0,mM,MC1061,0.568
18,rep1,Cd,0,mM,MC1061,0.569
18,rep2,Cd,0,mM,MC1061,0.551
18,rep3,Cd,0,mM,MC1061,0.568
18.33333333,rep1,Cd,0,mM,MC1061,0.568
18.33333333,rep2,Cd,0,mM,MC1061,0.55
18.33333333,rep3,Cd,0,mM,MC1061,0.567
18.66666667,rep1,Cd,0,mM,MC1061,0.567
